feature,importance
h_53,0.17258506009865246
h_31,0.10940958529107214
h_50,0.08054991543930907
h_40,0.06003494154626821
h_4,0.05653616614219681
h_44,0.050312895617893455
h_57,0.0335496540752639
h_15,0.0328672603010148
h_11,0.029297749398748945
h_12,0.02489266914487295
h_38,0.020110508498999553
h_17,0.01659890638952152
h_39,0.01659025825697952
h_22,0.01638640552493332
h_45,0.014529522927387635
h_19,0.014527830896690195
h_9,0.014237157887854087
h_8,0.013743702533494698
h_13,0.013151370779239752
h_55,0.010373398692977718
h_52,0.010110807362879583
h_26,0.008417477320661651
h_24,0.00840861157135548
h_56,0.008248641295772696
h_54,0.007982912871645816
doy_sin,0.007789210237595539
h_47,0.007544052029116844
h_21,0.007244031596157714
h_59,0.006998322542685566
h_29,0.006364771509043419
h_37,0.0062019916277223485
month_sin,0.005850818887573352
h_18,0.004795859085127575
h_58,0.004620586093400855
h_2,0.004568626271313611
h_63,0.0041956702097319075
h_60,0.003789862751014901
h_10,0.003727280739012375
h_14,0.003569040455990586
h_20,0.0035165226432349343
h_42,0.00348003156245676
h_3,0.0034390477031760237
h_36,0.0032902243790564464
h_35,0.0031994775455395797
h_1,0.0031787816928205742
h_33,0.003174377056046107
h_46,0.003123498185367373
h_30,0.0030993735257662607
h_7,0.003044936543171674
h_25,0.0029881485803123398
h_27,0.0028835927094250507
h_62,0.0028822625502154253
hour_sin,0.0027788879906448564
h_6,0.0025933556412147873
h_34,0.0025691923108739816
h_41,0.0025244647520257656
doy_cos,0.0025191725955492966
h_61,0.0024931098129066104
h_32,0.0023478777259626086
h_5,0.0023297735859970563
h_16,0.002312496760120482
h_51,0.0022566544517826793
h_0,0.0022374779396537384
h_23,0.0019045852907964788
h_28,0.0018999703720463494
h_48,0.001331288439425403
h_49,0.001236940915987369
h_43,0.0011951472836183932
hour_cos,0.001119378028128417
is_spring,0.0010078269623128905
month_cos,0.000794580899713596
is_winter,0.00036616604883178726
is_weekend,0.0001678436146462997
