exp_id,use_hidden,idw_method,pca_k,use_lur,use_population,use_temporal,n_features,n_train,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,test_adj_r2,stgnn_mae,elapsed_min
RF-H,True,wind,,False,False,False,64,511520,4.5275279648392415,7.2797855473641215,0.9117368792337335,3.122980968238074,4.217793425580951,0.8465431109370988,0.846453185186057,2.6143953800201416,1.21
RF-HS,True,wind,,True,False,False,73,511520,4.558015036040477,7.306941188005196,0.9110771586913492,3.157739561317153,4.2507181910185174,0.8441379421678638,0.8440337543922677,2.6143953800201416,1.14
RF-HT,True,wind,,False,False,True,73,511520,4.611430665604769,7.334566411751606,0.9104035096301555,3.217816401920827,4.308540029025562,0.8398687687171649,0.839761727163737,2.6143953800201416,1.13
RF-HSTP,True,wind,,True,True,True,83,511520,4.618478817351678,7.329652090819885,0.9105235326488313,3.2233940868864432,4.317106133615147,0.8392313999322045,0.8391091995420288,2.6143953800201416,1.21
RF-HST,True,wind,,True,False,True,82,511520,4.621771083620564,7.333597551496798,0.9104271785807824,3.2342808710399513,4.325052624868881,0.8386390021437037,0.8385178302999331,2.6143953800201416,1.18
RF-HST-IDW,True,idw,,True,False,True,82,511520,4.621771083620564,7.333597551496798,0.9104271785807824,3.2342808710399513,4.325052624868881,0.8386390021437037,0.8385178302999331,2.6143953800201416,1.16
RF-HST-Nearest,True,nearest,,True,False,True,82,511520,4.621771083620564,7.333597551496798,0.9104271785807824,3.2342808710399513,4.325052624868881,0.8386390021437037,0.8385178302999331,2.6143953800201416,1.16
RF-PCA16-HST,True,wind,16.0,True,False,True,34,511520,5.955085700992483,8.840799542242761,0.8698257170031783,4.479400543083662,5.751277802829888,0.7146719487737772,0.7145831469637017,2.6143953800201416,0.71
RF-PCA8-HST,True,wind,8.0,True,False,True,26,511520,7.250037723852079,10.39912679188778,0.8198908178292503,5.3791309065006425,6.865514065647155,0.5934051240658389,0.5933083627249669,2.6143953800201416,0.61
RF-ST,False,,,True,False,True,18,511520,22.014245226644228,34.69474239537104,-1.0047925598950882,10.103388141879888,12.884562386296944,-0.4320399180006451,-0.43227583675046466,2.6143953800201416,0.39
RF-S,False,,,True,False,False,9,511520,19.306460894396363,27.66765851268387,-0.2749317040335535,12.083972116779508,15.282871783881955,-1.0147711242437398,-1.0149370704331622,2.6143953800201416,0.4
