station,residual_bias
강남구,1.0969158
강남대로,0.6724409
강동구,0.7388202
강변북로,0.69320166
강북구,0.8523056
강서구,1.0742751
공항대로,0.9152405
관악구,1.126472
광진구,0.86598235
구로구,0.90120447
금천구,0.9752821
노원구,0.95631164
도봉구,0.6990922
도산대로,0.8826221
동대문구,0.9335747
동작구,0.8318024
동작대로 중앙차로,0.6516875
마포구,0.70300555
서대문구,0.6983453
서초구,0.798535
성동구,0.80868125
성북구,0.6622539
송파구,1.1163282
시흥대로,0.8835814
신촌로,1.2476429
양천구,0.619889
영등포구,1.1548638
영등포로,1.0410268
용산구,0.98983634
은평구,0.6477149
정릉로,0.92227066
종로,0.99196833
종로구,0.8344162
중구,0.37300387
중랑구,1.1061163
천호대로,0.9063648
청계천로,1.0305673
한강대로,0.89946544
홍릉로,0.8108616
화랑로,0.9602619
