scenario,mode,MAE,RMSE
S1_transport_pm10,static,2.75,3.94
S1_transport_pm10,climatological,3.44,5.27
S1_transport_pm10,soft_dynamic,3.07,4.27
S2_transport_pm10_pm10mask,static,2.84,4.07
S2_transport_pm10_pm10mask,climatological,3.32,5.24
S2_transport_pm10_pm10mask,soft_dynamic,2.75,3.99
S3_transport_pm10_pollutants,static,2.73,4.01
S3_transport_pm10_pollutants,climatological,3.25,5.03
S3_transport_pm10_pollutants,soft_dynamic,2.75,3.96
S4_transport_pm10_pollutants_pm10mask,static,2.71,3.86
S4_transport_pm10_pollutants_pm10mask,climatological,3.16,4.91
S4_transport_pm10_pollutants_pm10mask,soft_dynamic,2.7,3.91
S5_transport_pm10_pollutants_allmask,static,2.73,3.9
S5_transport_pm10_pollutants_allmask,climatological,3.16,4.93
S5_transport_pm10_pollutants_allmask,soft_dynamic,2.97,4.16
S6_transport_pm10_pollutants_summarymask,static,2.84,4.06
S6_transport_pm10_pollutants_summarymask,climatological,3.28,5.03
S6_transport_pm10_pollutants_summarymask,soft_dynamic,3.01,4.17
S7_transport_pm10_weather,static,2.89,4.12
S7_transport_pm10_weather,climatological,3.37,5.13
S7_transport_pm10_weather,soft_dynamic,3.25,4.39
S8_transport_pm10_rain,static,2.7,3.83
S8_transport_pm10_rain,climatological,3.3,5.2
S8_transport_pm10_rain,soft_dynamic,2.81,4.02
S9_transport_pm10_weather_rain,static,2.77,3.96
S9_transport_pm10_weather_rain,climatological,3.18,4.8
S9_transport_pm10_weather_rain,soft_dynamic,3.01,4.26
S10_transport_all_summarymask,static,2.8,3.93
S10_transport_all_summarymask,climatological,3.21,4.78
S10_transport_all_summarymask,soft_dynamic,2.7,3.89
