grid_id,x,y,score,route_order
8927.0,0.3959731459617615,0.5167785286903381,0.9974686503410339,0
6379.0,0.281879186630249,0.5302013158798218,0.997908353805542,1
5346.0,0.23489932715892792,0.644295334815979,0.9991105198860168,2
6857.0,0.30201342701911926,0.718120813369751,0.9977490901947021,3
8057.0,0.3557046949863434,0.718120813369751,0.9989973306655884,4
12109.0,0.536912739276886,0.7315436601638794,0.9965622425079346,5
13310.0,0.5906040668487549,0.7382550239562988,0.999937117099762,6
18259.0,0.8120805025100708,0.7315436601638794,0.9996767044067383,7
18096.0,0.8053691387176514,0.644295334815979,0.9998990893363953,8
17332.0,0.7718120813369751,0.5503355264663696,0.9999793171882629,9
14628.0,0.6510066986083984,0.5234899520874023,0.9997695088386536,10
15063.0,0.6711409091949463,0.42281877994537354,0.9994864463806152,11
16407.0,0.7315436601638794,0.38255032896995544,0.9997678399085999,12
16242.0,0.7248321771621704,0.281879186630249,0.9997169971466064,13
16234.0,0.7248321771621704,0.2281879186630249,0.9989621043205261,14
14288.0,0.63758385181427,0.25503355264663696,0.9998454451560974,15
12054.0,0.536912739276886,0.3624161183834076,0.9990620613098145,16
